групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.2;Тернопіль;Тернопіль;І. Блажкевич;2
1.2;Тернопіль;Тернопіль;І. Блажкевич;3
1.2;Тернопіль;Тернопіль;І. Блажкевич;4
1.2;Тернопіль;Тернопіль;І. Блажкевич;5
1.2;Тернопіль;Тернопіль;І. Блажкевич;6
1.2;Тернопіль;Тернопіль;І. Блажкевич;7
1.2;Тернопіль;Тернопіль;І. Блажкевич;8
1.2;Тернопіль;Тернопіль;Н. Яремчука;всі
1.2;Тернопіль;Тернопіль;Чумацька;всі
1.2;Тернопіль;Тернопіль;Гжицьких;всі
1.2;Тернопіль;Тернопіль;Надзбручанська;всі
1.2;Тернопіль;Тернопіль;Степова;всі
1.2;Тернопіль;Тернопіль;Тролейбусна;всі
1.2;Тернопіль;Тернопіль;Далека;всі
1.2;Тернопіль;Тернопіль;Торговиця;11
1.2;Тернопіль;Тернопіль;Торговиця;14
1.2;Тернопіль;Тернопіль;Торговиця;18
1.2;Тернопіль;Тернопіль;Торговиця;24
1.2;Тернопіль;Тернопіль;Торговиця;26
1.2;Тернопіль;Тернопіль;Торговиця;28
1.2;Тернопіль;Тернопіль;Торговиця;37
1.2;Тернопіль;Тернопіль;Торговиця;37А
1.2;Тернопіль;Тернопіль;Білогірська;всі
4.1;Тернопіль;Тернопіль;Шептицького;3
1.2;Тернопіль;Тернопіль;Шептицького;5А
1.2;Тернопіль;Тернопіль;Шептицького;7
1.2;Тернопіль;Тернопіль;Шептицького;8
1.2;Тернопіль;Тернопіль;Шептицького;9
1.2;Тернопіль;Тернопіль;Шептицького;10
1.2;Тернопіль;Тернопіль;Шептицького;11
1.2;Тернопіль;Тернопіль;Шептицького;12
1.2;Тернопіль;Тернопіль;Шептицького;13
1.2;Тернопіль;Тернопіль;Шептицького;14
1.2;Тернопіль;Тернопіль;Шептицького;15
1.2;Тернопіль;Тернопіль;Шептицького;16
1.2;Тернопіль;Тернопіль;Шептицького;17
1.2;Тернопіль;Тернопіль;Шептицького;18
1.2;Тернопіль;Тернопіль;Шептицького;19
1.2;Тернопіль;Тернопіль;Шептицького;20
1.2;Тернопіль;Тернопіль;Шептицького;21
1.2;Тернопіль;Тернопіль;пров. Цегельний;всі
1.2;Тернопіль;Тернопіль;Колонтая;2
1.2;Тернопіль;Тернопіль;Колонтая;6
1.2;Тернопіль;Тернопіль;Руська;2
1.2;Тернопіль;Тернопіль;Руська;4
1.2;Тернопіль;Тернопіль;Руська;6
1.2;Тернопіль;Тернопіль;Руська;8
1.2;Тернопіль;Тернопіль;Старий Поділ;11
1.2;Тернопіль;Тернопіль;Старий Поділ;14
1.2;Тернопіль;Тернопіль;Старий Поділ;16
1.2;Тернопіль;Тернопіль;Старий Поділ;18
1.2;Тернопіль;Тернопіль;Старий Поділ;20
1.2;Тернопіль;Тернопіль;Старий Поділ;22
1.2;Тернопіль;Тернопіль;Старий Поділ;23
1.2;Тернопіль;Тернопіль;Старий Поділ;31
1.2;Тернопіль;Тернопіль;Старий Поділ;приватний сектор
1.2;Тернопіль;Тернопіль;Шашкевича;1
1.2;Тернопіль;Тернопіль;Шашкевича;2
1.2;Тернопіль;Тернопіль;Шашкевича;3
1.2;Тернопіль;Тернопіль;Шашкевича;4
1.2;Тернопіль;Тернопіль;Шашкевича;5
1.2;Тернопіль;Тернопіль;Шашкевича;6
1.2;Тернопіль;Тернопіль;Шашкевича;7
1.2;Тернопіль;Тернопіль;Шашкевича;8
1.2;Тернопіль;Тернопіль;Шашкевича;9
1.2;Тернопіль;Тернопіль;Шашкевича;10
1.2;Тернопіль;Тернопіль;Шашкевича;11
1.2;Тернопіль;Тернопіль;Шашкевича;12
1.2;Тернопіль;Тернопіль;Шашкевича;13
1.2;Тернопіль;Тернопіль;Шашкевича;14
1.2;Тернопіль;Тернопіль;Шашкевича;15
1.2;Тернопіль;Тернопіль;Шашкевича;16
